,0,0.05,0.1,0.25,0.5,0.75,1,2,5,10
0.1,3.73,4.46,4.79,8.28,10.53,13.69,14.70,11.35,9.04,5.21
0.3,4.76,17.66,21.26,28.66,30.18,41.59,36.86,37.84,22.02,17.69
0.6,2.90,18.88,29.07,42.36,49.27,44.75,39.25,31.89,28.08,21.67
1,5.73,18.38,25.79,43.67,48.89,59.49,55.32,55.02,40.00,32.01
2,1.79,8.19,8.77,20.99,28.36,37.11,40.38,49.77,42.23,38.42
