,0,1,2,5,10,15,20,40,100,200
1,3.729333333,4.462666667,4.792666667,8.276,10.52933333,13.69333333,14.70333333,11.34666667,9.043333333,5.208
3,4.755666667,17.66,21.26333333,28.66,30.18333333,41.59,36.85666667,37.84333333,22.02,17.69
6,2.901333333,18.87666667,29.07,42.36,49.27333333,44.75,39.24666667,31.88666667,28.08333333,21.66666667
10,5.731,18.38,25.79,43.67,48.89,59.49,55.32,55.02,40,32.01
20,1.794333333,8.190333333,8.766333333,20.99333333,28.36,37.10666667,40.38333333,49.76666667,42.23,38.42
